ID,time,model nbr,snr (dB),file,choice,correct?,srt,log-slope,var(srt),var(log-slope)
Participant,20250121_172942,0.0,0.0,mrt_055_reverb_anechoic_snr_0_db.wav,bit,1.0,-6.902875604623501,-2.291258829549094,3.5214489128600355,0.4879050092848294
Participant,20250121_172942,0.0,-6.0,mrt_073_reverb_anechoic_snr_-6_db.wav,oil,1.0,-11.196079093146981,-2.229599516403344,3.163119553658043,0.486566941396629
Participant,20250121_172942,0.0,-11.0,mrt_137_reverb_anechoic_snr_-11_db.wav,x,0.0,-9.092459961783435,-1.9578921851043838,3.8497625391488826,0.7580847527153542
Participant,20250121_172942,0.0,-9.0,mrt_090_reverb_anechoic_snr_-9_db.wav,math,1.0,-12.393353335629396,-1.981230623161463,4.059165664212986,0.9268319265306973
Participant,20250121_172942,0.0,-12.0,mrt_006_reverb_anechoic_snr_-12_db.wav,x,0.0,-9.319083015154703,-1.7427607500248286,3.4157636933449322,0.9473283262941722
Participant,20250121_172942,0.0,-8.0,mrt_146_reverb_anechoic_snr_-8_db.wav,kick,1.0,-10.58889280323622,-1.5770078796734992,2.4720286261927664,1.01161141355887
Participant,20250121_172942,0.0,-10.0,mrt_107_reverb_anechoic_snr_-10_db.wav,x,0.0,-9.322930918536104,-1.5250012001613924,2.2828776246985565,1.0122807172450097
Participant,20250121_172942,0.0,-9.0,mrt_276_reverb_anechoic_snr_-9_db.wav,fame,1.0,-10.119586684747258,-1.3269492821253959,2.0119370129906713,1.0269253198877517
Participant,20250121_172942,0.0,-11.0,mrt_282_reverb_anechoic_snr_-11_db.wav,ten,1.0,-11.337161948041238,-2.003363676853665,2.477748898258621,0.9669303732677915
Participant,20250121_172942,0.0,-12.0,mrt_150_reverb_anechoic_snr_-12_db.wav,x,0.0,-10.418657404503056,-1.7174364056270153,2.166702776073523,0.98343293703502
Participant,20250121_172942,0.0,-11.0,mrt_133_reverb_anechoic_snr_-11_db.wav,x,0.0,-9.85091607590852,-1.4787264939879083,1.933507971742895,0.9967699862165553
Participant,20250121_172942,0.0,-9.0,mrt_180_reverb_anechoic_snr_-9_db.wav,x,0.0,-9.002673796641512,-2.00561713564916,2.2414661401529035,0.9288859289446728
Participant,20250121_172942,0.0,-7.0,mrt_281_reverb_anechoic_snr_-7_db.wav,x,0.0,-7.625215226961376,-2.6167217317544966,2.667131087885145,0.8379981729085636
Participant,20250121_172942,0.0,-5.0,mrt_286_reverb_anechoic_snr_-5_db.wav,rip,1.0,-8.420570238643014,-2.45054451015316,2.4558391219935367,0.8512692089617895
Participant,20250121_172942,0.0,-5.0,mrt_117_reverb_anechoic_snr_-5_db.wav,bad,1.0,-8.884170782017833,-2.297273784148073,2.28617121229439,0.8561017191006054
Participant,20250121_172942,0.0,-7.0,mrt_111_reverb_anechoic_snr_-7_db.wav,duck,1.0,-9.303583746777148,-2.1734161315819014,2.1401333313926645,0.8596031434234078
Participant,20250121_172942,0.0,-11.0,mrt_085_reverb_anechoic_snr_-11_db.wav,neat,1.0,-10.049612491089498,-2.4726039231171426,2.3242273344827855,0.8215177313645124
Participant,20250121_172942,0.0,-12.0,mrt_253_reverb_anechoic_snr_-12_db.wav,x,0.0,-9.593261826700092,-2.333450948705553,2.172459675292487,0.8256264060813399
Participant,20250121_172942,0.0,-11.0,mrt_192_reverb_anechoic_snr_-11_db.wav,x,0.0,-9.219042697430574,-2.218399736993708,2.054852354610913,0.8298515093359312
Participant,20250121_172942,0.0,-7.0,mrt_139_reverb_anechoic_snr_-7_db.wav,look,1.0,-9.473970128418538,-2.089311394656529,1.3103688759981482,0.827727229552785
Participant,20250121_172942,0.0,-7.0,mrt_018_reverb_anechoic_snr_-7_db.wav,way,1.0,-9.641458218567431,-1.9745597039940614,1.256029132841455,0.824466077486073
Participant,20250121_172942,0.0,-11.0,mrt_093_reverb_anechoic_snr_-11_db.wav,z,0.0,-9.403903853657939,-1.8557256617430937,1.1979937638942613,0.8219871817422966
Participant,20250121_172942,0.0,-8.0,mrt_031_reverb_anechoic_snr_-8_db.wav,x,0.0,-8.974511667626935,-2.100004514971495,1.2608185978096613,0.7874909130400672
Participant,20250121_172942,0.0,-6.0,mrt_042_reverb_anechoic_snr_-6_db.wav,x,0.0,-8.499294912720458,-2.4801887917097902,1.390103146436559,0.7669211699200844
Participant,20250121_172942,0.0,-4.0,mrt_014_reverb_anechoic_snr_-4_db.wav,not,1.0,-8.667656373628457,-2.381714619558294,1.3390754474476645,0.756799287772887
Participant,20250121_172942,0.0,-5.0,mrt_092_reverb_anechoic_snr_-5_db.wav,z,0.0,-8.153301056704196,-2.713447628391854,1.4548606128792205,0.7323919714865753
Participant,20250121_172942,0.0,-3.0,mrt_248_reverb_anechoic_snr_-3_db.wav,buck,1.0,-8.336498978483059,-2.606141824508889,1.3984358529395844,0.4873948891194516
Participant,20250121_172942,0.0,-4.0,mrt_064_reverb_anechoic_snr_-4_db.wav,tot,1.0,-8.493977340019326,-2.527131258854686,1.3585644939742985,0.48485132624929517
Participant,20250121_172942,0.0,-10.0,mrt_260_reverb_anechoic_snr_-10_db.wav,x,0.0,-8.227709275093492,-2.460727984314657,1.3210763227932754,0.48467504346131324
Participant,20250121_172942,0.0,-5.0,mrt_264_reverb_anechoic_snr_-5_db.wav,lot,1.0,-8.379732240763923,-2.3856418475923498,1.2824918349877275,0.48158782202317
